Date and Time,Entrycount,Exitcount,total cip
01-04-09 0:00,15,9,6
01-04-09 1:00,0,4,2
01-04-09 2:00,1,1,2
01-04-09 3:00,0,0,2
01-04-09 4:00,0,1,1
01-04-09 5:00,0,1,0
01-04-09 6:00,0,0,0
01-04-09 7:00,8,0,8
01-04-09 8:00,43,9,42
01-04-09 9:00,80,29,93
01-04-09 10:00,134,65,162
01-04-09 11:00,152,98,216
01-04-09 12:00,191,127,280
01-04-09 13:00,149,132,297
01-04-09 14:00,149,174,272
01-04-09 15:00,177,161,288
01-04-09 16:00,150,167,271
01-04-09 17:00,127,158,240
01-04-09 18:00,337,118,459
01-04-09 19:00,229,111,577
01-04-09 20:00,53,118,512
01-04-09 21:00,13,397,128
01-04-09 22:00,3,84,47
01-04-09 23:00,0,32,15
02-04-09 0:00,11,9,2
02-04-09 1:00,0,1,1
02-04-09 2:00,0,1,0
02-04-09 3:00,0,0,0
02-04-09 4:00,0,0,0
02-04-09 5:00,0,0,0
02-04-09 6:00,3,2,1
02-04-09 7:00,3,0,4
02-04-09 8:00,44,9,39
02-04-09 9:00,80,38,81
02-04-09 10:00,138,61,158
02-04-09 11:00,156,88,226
02-04-09 12:00,252,121,357
02-04-09 13:00,144,162,339
02-04-09 14:00,169,186,322
02-04-09 15:00,140,204,258
02-04-09 16:00,152,140,270
02-04-09 17:00,142,157,255
02-04-09 18:00,285,137,403
02-04-09 19:00,174,101,476
02-04-09 20:00,66,143,399
02-04-09 21:00,28,268,159
02-04-09 22:00,7,102,64
02-04-09 23:00,2,50,16
03-04-09 0:00,9,6,3
03-04-09 1:00,0,2,1
03-04-09 2:00,0,1,0
03-04-09 3:00,0,0,0
03-04-09 4:00,0,0,0
03-04-09 5:00,0,0,0
03-04-09 6:00,0,0,0
03-04-09 7:00,11,2,9
03-04-09 8:00,34,10,33
03-04-09 9:00,75,29,79
03-04-09 10:00,147,58,168
03-04-09 11:00,184,105,247
03-04-09 12:00,215,130,332
03-04-09 13:00,197,185,344
03-04-09 14:00,149,189,304
03-04-09 15:00,187,182,309
03-04-09 16:00,170,186,293
03-04-09 17:00,146,183,256
03-04-09 18:00,328,116,468
03-04-09 19:00,289,124,633
03-04-09 20:00,157,152,638
03-04-09 21:00,56,275,419
03-04-09 22:00,58,195,282
03-04-09 23:00,49,168,163
04-04-09 0:00,162,30,132
04-04-09 1:00,1,95,38
04-04-09 2:00,0,31,7
04-04-09 3:00,0,4,3
04-04-09 4:00,1,1,3
04-04-09 5:00,0,1,2
04-04-09 6:00,0,0,2
04-04-09 7:00,4,2,4
04-04-09 8:00,31,8,27
04-04-09 9:00,97,19,105
04-04-09 10:00,249,65,289
04-04-09 11:00,303,134,458
04-04-09 12:00,287,202,543
04-04-09 13:00,277,229,591
04-04-09 14:00,269,252,608
04-04-09 15:00,267,242,633
04-04-09 16:00,265,256,642
04-04-09 17:00,287,250,679
04-04-09 18:00,311,217,773
04-04-09 19:00,260,223,810
04-04-09 20:00,152,219,743
04-04-09 21:00,68,367,444
04-04-09 22:00,65,225,284
04-04-09 23:00,48,145,187
05-04-09 0:00,185,48,137
05-04-09 1:00,1,98,40
05-04-09 2:00,3,36,7
05-04-09 3:00,0,5,2
05-04-09 4:00,0,1,1
05-04-09 5:00,0,0,1
05-04-09 6:00,1,0,2
05-04-09 7:00,2,3,1
05-04-09 8:00,29,1,29
05-04-09 9:00,93,9,113
05-04-09 10:00,208,25,296
05-04-09 11:00,317,92,521
05-04-09 12:00,326,142,705
05-04-09 13:00,340,217,828
05-04-09 14:00,255,279,804
05-04-09 15:00,248,276,776
05-04-09 16:00,211,294,693
05-04-09 17:00,189,276,606
05-04-09 18:00,164,251,519
05-04-09 19:00,146,231,434
05-04-09 20:00,110,180,364
05-04-09 21:00,29,209,184
05-04-09 22:00,4,48,140
05-04-09 23:00,0,125,15
06-04-09 0:00,8,5,3
06-04-09 1:00,0,2,1
06-04-09 2:00,0,0,1
06-04-09 3:00,0,0,1
06-04-09 4:00,0,0,1
06-04-09 5:00,0,0,1
06-04-09 6:00,1,0,2
06-04-09 7:00,6,2,6
06-04-09 8:00,36,13,29
06-04-09 9:00,82,29,82
06-04-09 10:00,120,59,143
06-04-09 11:00,149,97,195
06-04-09 12:00,210,114,291
06-04-09 13:00,166,158,299
06-04-09 14:00,198,194,303
06-04-09 15:00,185,190,298
06-04-09 16:00,135,170,263
06-04-09 17:00,108,161,210
06-04-09 18:00,184,122,272
06-04-09 19:00,112,55,329
06-04-09 20:00,40,107,262
06-04-09 21:00,13,54,221
06-04-09 22:00,3,29,195
06-04-09 23:00,5,25,175
07-04-09 0:00,9,3,6
07-04-09 1:00,0,3,3
07-04-09 2:00,0,1,2
07-04-09 3:00,0,0,2
07-04-09 4:00,0,2,0
07-04-09 5:00,0,0,0
07-04-09 6:00,0,0,0
07-04-09 7:00,8,1,7
07-04-09 8:00,40,9,38
07-04-09 9:00,70,25,83
07-04-09 10:00,115,52,146
07-04-09 11:00,179,85,240
07-04-09 12:00,206,129,317
07-04-09 13:00,156,167,306
07-04-09 14:00,164,186,284
07-04-09 15:00,161,190,255
07-04-09 16:00,148,167,236
07-04-09 17:00,118,148,206
07-04-09 18:00,198,123,281
07-04-09 19:00,140,72,349
07-04-09 20:00,81,115,315
07-04-09 21:00,26,179,162
07-04-09 22:00,5,115,52
07-04-09 23:00,1,34,19
08-04-09 0:00,10,5,5
08-04-09 1:00,1,2,4
08-04-09 2:00,0,1,3
08-04-09 3:00,0,0,3
08-04-09 4:00,0,2,1
08-04-09 5:00,0,0,1
08-04-09 6:00,0,1,0
08-04-09 7:00,8,3,5
08-04-09 8:00,36,8,33
08-04-09 9:00,73,33,73
08-04-09 10:00,127,58,142
08-04-09 11:00,197,111,228
08-04-09 12:00,205,134,299
08-04-09 13:00,145,165,279
08-04-09 14:00,161,197,243
08-04-09 15:00,159,144,258
08-04-09 16:00,139,150,247
08-04-09 17:00,139,175,211
08-04-09 18:00,207,117,301
08-04-09 19:00,154,95,360
08-04-09 20:00,48,133,275
08-04-09 21:00,13,189,99
08-04-09 22:00,3,61,41
08-04-09 23:00,2,39,4
09-04-09 0:00,5,3,2
09-04-09 1:00,1,0,3
09-04-09 2:00,0,1,2
09-04-09 3:00,0,2,0
09-04-09 4:00,0,0,0
09-04-09 5:00,1,0,1
09-04-09 6:00,2,2,1
09-04-09 7:00,7,3,5
09-04-09 8:00,38,10,33
