Date and Time,Entrycount,Exitcount,total cip
01-08-09 0:00,134,72,62
01-08-09 1:00,0,40,22
01-08-09 2:00,0,16,6
01-08-09 3:00,0,5,1
01-08-09 4:00,0,1,0
01-08-09 5:00,0,0,0
01-08-09 6:00,0,0,0
01-08-09 7:00,4,0,4
01-08-09 8:00,23,3,24
01-08-09 9:00,99,9,114
01-08-09 10:00,269,63,320
01-08-09 11:00,331,155,496
01-08-09 12:00,325,182,639
01-08-09 13:00,335,243,731
01-08-09 14:00,333,257,807
01-08-09 15:00,310,283,834
01-08-09 16:00,309,293,850
01-08-09 17:00,290,287,853
01-08-09 18:00,242,256,839
01-08-09 19:00,207,206,840
01-08-09 20:00,186,186,840
01-08-09 21:00,87,342,585
01-08-09 22:00,20,292,313
01-08-09 23:00,34,193,154
02-08-09 0:00,156,76,80
02-08-09 1:00,1,49,32
02-08-09 2:00,1,22,11
02-08-09 3:00,0,9,2
02-08-09 4:00,0,1,1
02-08-09 5:00,0,0,1
02-08-09 6:00,0,0,1
02-08-09 7:00,2,1,2
02-08-09 8:00,37,3,36
02-08-09 9:00,113,8,141
02-08-09 10:00,329,33,437
02-08-09 11:00,404,84,757
02-08-09 12:00,258,167,848
02-08-09 13:00,243,255,836
02-08-09 14:00,247,242,841
02-08-09 15:00,245,245,841
02-08-09 16:00,231,246,826
02-08-09 17:00,262,265,823
02-08-09 18:00,228,296,755
02-08-09 19:00,180,266,669
02-08-09 20:00,89,268,490
02-08-09 21:00,30,311,209
02-08-09 22:00,4,128,85
02-08-09 23:00,0,67,18
03-08-09 0:00,16,12,4
03-08-09 1:00,0,3,1
03-08-09 2:00,0,0,1
03-08-09 3:00,0,1,0
03-08-09 4:00,0,0,0
03-08-09 5:00,0,0,0
03-08-09 6:00,0,0,0
03-08-09 7:00,6,2,4
03-08-09 8:00,38,10,32
03-08-09 9:00,66,25,73
03-08-09 10:00,128,58,143
03-08-09 11:00,171,89,225
03-08-09 12:00,246,118,353
03-08-09 13:00,188,163,378
03-08-09 14:00,169,210,337
03-08-09 15:00,177,197,317
03-08-09 16:00,167,185,299
03-08-09 17:00,109,173,235
03-08-09 18:00,216,128,323
03-08-09 19:00,170,92,401
03-08-09 20:00,62,121,342
03-08-09 21:00,25,195,172
03-08-09 22:00,6,103,75
03-08-09 23:00,2,49,28
04-08-09 0:00,13,9,4
04-08-09 1:00,1,3,2
04-08-09 2:00,1,1,2
04-08-09 3:00,0,1,1
04-08-09 4:00,0,0,1
04-08-09 5:00,1,0,2
04-08-09 6:00,1,1,2
04-08-09 7:00,7,1,8
04-08-09 8:00,22,7,23
04-08-09 9:00,72,23,72
04-08-09 10:00,125,66,131
04-08-09 11:00,201,97,235
04-08-09 12:00,194,114,315
04-08-09 13:00,172,136,351
04-08-09 14:00,184,212,323
04-08-09 15:00,171,184,310
04-08-09 16:00,140,173,277
04-08-09 17:00,141,161,257
04-08-09 18:00,257,128,386
04-08-09 19:00,216,92,510
04-08-09 20:00,79,138,451
04-08-09 21:00,20,262,209
04-08-09 22:00,2,125,86
04-08-09 23:00,2,70,18
05-08-09 0:00,15,11,4
05-08-09 1:00,0,1,3
05-08-09 2:00,0,3,0
05-08-09 3:00,0,0,0
05-08-09 4:00,0,0,0
05-08-09 5:00,1,0,1
05-08-09 6:00,0,1,0
05-08-09 7:00,5,0,5
05-08-09 8:00,33,5,33
05-08-09 9:00,70,31,72
05-08-09 10:00,81,42,111
05-08-09 11:00,182,34,259
05-08-09 12:00,217,108,368
05-08-09 13:00,195,172,391
05-08-09 14:00,182,198,375
05-08-09 15:00,180,197,358
05-08-09 16:00,156,181,333
05-08-09 17:00,135,179,289
05-08-09 18:00,249,123,415
05-08-09 19:00,238,93,560
05-08-09 20:00,127,131,556
05-08-09 21:00,44,239,361
05-08-09 22:00,5,199,167
05-08-09 23:00,2,101,68
06-08-09 0:00,26,17,9
06-08-09 1:00,0,6,3
06-08-09 2:00,0,1,2
06-08-09 3:00,0,1,1
06-08-09 4:00,0,0,1
06-08-09 5:00,0,1,0
06-08-09 6:00,2,1,1
06-08-09 7:00,5,0,6
06-08-09 8:00,34,11,29
06-08-09 9:00,66,28,67
06-08-09 10:00,128,57,138
06-08-09 11:00,186,87,237
06-08-09 12:00,224,122,339
06-08-09 13:00,179,162,356
06-08-09 14:00,178,207,327
06-08-09 15:00,205,188,344
06-08-09 16:00,169,199,314
06-08-09 17:00,136,159,291
06-08-09 18:00,267,128,430
06-08-09 19:00,239,128,541
06-08-09 20:00,79,146,474
06-08-09 21:00,41,254,261
06-08-09 22:00,5,145,121
06-08-09 23:00,0,99,22
07-08-09 0:00,19,11,8
07-08-09 1:00,0,4,4
07-08-09 2:00,0,2,2
07-08-09 3:00,1,3,0
07-08-09 4:00,0,0,0
07-08-09 5:00,0,0,0
07-08-09 6:00,1,1,0
07-08-09 7:00,10,3,7
07-08-09 8:00,41,8,40
07-08-09 9:00,82,30,92
07-08-09 10:00,221,75,238
07-08-09 11:00,270,129,379
07-08-09 12:00,333,147,565
07-08-09 13:00,279,220,624
07-08-09 14:00,273,290,607
07-08-09 15:00,286,288,605
07-08-09 16:00,250,299,556
07-08-09 17:00,203,280,479
07-08-09 18:00,451,184,746
07-08-09 19:00,261,174,833
07-08-09 20:00,199,201,831
07-08-09 21:00,67,342,556
07-08-09 22:00,45,262,339
07-08-09 23:00,48,210,177
08-08-09 0:00,178,51,127
08-08-09 1:00,1,74,54
08-08-09 2:00,1,48,7
08-08-09 3:00,0,4,3
08-08-09 4:00,0,1,2
08-08-09 5:00,0,1,1
08-08-09 6:00,0,0,1
08-08-09 7:00,5,1,5
08-08-09 8:00,28,6,27
08-08-09 9:00,104,17,114
08-08-09 10:00,243,57,300
08-08-09 11:00,349,135,514
08-08-09 12:00,356,194,676
08-08-09 13:00,363,222,817
08-08-09 14:00,311,288,840
08-08-09 15:00,274,282,832
08-08-09 16:00,309,308,833
08-08-09 17:00,238,290,781
08-08-09 18:00,279,239,821
08-08-09 19:00,171,179,813
08-08-09 20:00,177,199,791
08-08-09 21:00,87,306,572
08-08-09 22:00,32,254,350
08-08-09 23:00,57,226,181
09-08-09 0:00,178,47,131
09-08-09 1:00,1,69,63
09-08-09 2:00,1,56,8
09-08-09 3:00,1,6,3
09-08-09 4:00,0,2,1
09-08-09 5:00,0,0,1
09-08-09 6:00,1,0,2
09-08-09 7:00,1,1,2
09-08-09 8:00,30,4,28
09-08-09 9:00,105,9,124
09-08-09 10:00,368,28,464
09-08-09 11:00,415,75,804
09-08-09 12:00,182,126,860
09-08-09 13:00,202,208,854
09-08-09 14:00,216,220,850
09-08-09 15:00,249,239,860
09-08-09 16:00,237,239,858
09-08-09 17:00,235,277,816
09-08-09 18:00,211,264,763
09-08-09 19:00,132,214,681
09-08-09 20:00,97,203,575
09-08-09 21:00,47,281,341
09-08-09 22:00,29,167,203
09-08-09 23:00,46,129,120
10-08-09 0:00,115,37,78
10-08-09 1:00,0,43,35
10-08-09 2:00,0,32,3
10-08-09 3:00,0,2,1
10-08-09 4:00,0,0,1
10-08-09 5:00,0,0,1
10-08-09 6:00,3,0,4
10-08-09 7:00,4,2,6
10-08-09 8:00,13,2,17
10-08-09 9:00,88,10,95
10-08-09 10:00,314,18,391
10-08-09 11:00,440,68,763
10-08-09 12:00,245,159,849
10-08-09 13:00,207,215,841
10-08-09 14:00,237,242,836
10-08-09 15:00,235,218,853
10-08-09 16:00,256,254,855
10-08-09 17:00,214,232,837
10-08-09 18:00,238,271,804
10-08-09 19:00,152,274,682
10-08-09 20:00,96,265,513
10-08-09 21:00,20,327,206
10-08-09 22:00,2,107,101
10-08-09 23:00,3,75,29
11-08-09 0:00,19,8,11
11-08-09 1:00,0,5,6
11-08-09 2:00,0,4,2
11-08-09 3:00,0,1,1
11-08-09 4:00,0,0,1
11-08-09 5:00,0,0,1
11-08-09 6:00,1,1,1
11-08-09 7:00,11,2,10
11-08-09 8:00,35,6,39
11-08-09 9:00,62,32,69
11-08-09 10:00,148,62,155
11-08-09 11:00,167,103,219
11-08-09 12:00,243,116,346
11-08-09 13:00,141,181,306
11-08-09 14:00,178,170,314
11-08-09 15:00,194,184,324
11-08-09 16:00,137,184,277
11-08-09 17:00,139,175,241
11-08-09 18:00,213,109,345
11-08-09 19:00,145,101,389
11-08-09 20:00,61,139,311
11-08-09 21:00,23,190,144
11-08-09 22:00,1,77,68
11-08-09 23:00,1,52,17
12-08-09 0:00,14,8,6
12-08-09 1:00,1,3,4
12-08-09 2:00,0,3,1
12-08-09 3:00,0,1,0
12-08-09 4:00,0,0,0
12-08-09 5:00,0,0,0
12-08-09 6:00,0,0,0
12-08-09 7:00,13,0,13
12-08-09 8:00,41,15,39
12-08-09 9:00,72,23,88
12-08-09 10:00,133,64,157
12-08-09 11:00,188,99,246
12-08-09 12:00,200,127,319
12-08-09 13:00,196,191,324
12-08-09 14:00,183,182,325
12-08-09 15:00,174,181,318
12-08-09 16:00,129,175,272
12-08-09 17:00,114,165,221
12-08-09 18:00,191,122,290
12-08-09 19:00,172,85,377
12-08-09 20:00,73,134,316
12-08-09 21:00,12,177,151
12-08-09 22:00,5,91,65
12-08-09 23:00,2,56,11
13-08-09 0:00,9,7,2
13-08-09 1:00,0,2,0
13-08-09 2:00,0,0,0
13-08-09 3:00,0,0,0
13-08-09 4:00,0,0,0
13-08-09 5:00,0,0,0
13-08-09 6:00,1,1,0
13-08-09 7:00,16,2,14
13-08-09 8:00,42,8,48
13-08-09 9:00,73,31,90
13-08-09 10:00,132,58,164
13-08-09 11:00,184,93,255
13-08-09 12:00,232,114,373
13-08-09 13:00,166,178,361
13-08-09 14:00,174,210,325
13-08-09 15:00,214,194,345
13-08-09 16:00,149,191,303
13-08-09 17:00,124,167,260
13-08-09 18:00,243,130,373
13-08-09 19:00,212,97,488
13-08-09 20:00,100,157,431
13-08-09 21:00,24,220,235
13-08-09 22:00,4,137,102
