Date and Time,Entrycount,Exitcount,total cip
01-12-09 0:00,8,3,5
01-12-09 1:00,1,3,3
01-12-09 2:00,0,1,2
01-12-09 3:00,0,1,1
01-12-09 4:00,1,1,1
01-12-09 5:00,0,1,0
01-12-09 6:00,0,0,0
01-12-09 7:00,7,2,5
01-12-09 8:00,31,9,27
01-12-09 9:00,70,31,66
01-12-09 10:00,109,56,119
01-12-09 11:00,185,89,215
01-12-09 12:00,201,113,303
01-12-09 13:00,180,130,353
01-12-09 14:00,187,184,356
01-12-09 15:00,180,196,340
01-12-09 16:00,152,193,299
01-12-09 17:00,138,189,248
01-12-09 18:00,217,108,357
01-12-09 19:00,153,104,406
01-12-09 20:00,82,109,379
01-12-09 21:00,28,230,177
01-12-09 22:00,2,99,80
01-12-09 23:00,0,72,8
02-12-09 0:00,6,6,0
02-12-09 1:00,0,0,0
02-12-09 2:00,0,0,0
02-12-09 3:00,0,0,0
02-12-09 4:00,0,0,0
02-12-09 5:00,0,0,0
02-12-09 6:00,0,0,0
02-12-09 7:00,8,2,6
02-12-09 8:00,33,7,32
02-12-09 9:00,74,28,78
02-12-09 10:00,138,58,158
02-12-09 11:00,181,104,235
02-12-09 12:00,210,94,351
02-12-09 13:00,199,171,379
02-12-09 14:00,182,194,367
02-12-09 15:00,208,205,370
02-12-09 16:00,177,197,350
02-12-09 17:00,147,212,285
02-12-09 18:00,246,129,402
02-12-09 19:00,226,110,518
02-12-09 20:00,99,125,492
02-12-09 21:00,23,250,265
02-12-09 22:00,6,160,111
02-12-09 23:00,3,95,19
03-12-09 0:00,15,12,3
03-12-09 1:00,0,2,1
03-12-09 2:00,0,0,1
03-12-09 3:00,0,0,1
03-12-09 4:00,0,0,1
03-12-09 5:00,1,1,1
03-12-09 6:00,0,0,1
03-12-09 7:00,1,1,1
03-12-09 8:00,34,14,21
03-12-09 9:00,63,22,62
03-12-09 10:00,144,45,161
03-12-09 11:00,193,91,263
03-12-09 12:00,207,132,338
03-12-09 13:00,197,152,383
03-12-09 14:00,212,195,400
03-12-09 15:00,190,203,387
03-12-09 16:00,174,196,365
03-12-09 17:00,174,189,350
03-12-09 18:00,257,154,453
03-12-09 19:00,272,101,624
03-12-09 20:00,101,165,560
03-12-09 21:00,27,312,275
03-12-09 22:00,4,178,101
03-12-09 23:00,5,68,38
04-12-09 0:00,35,21,14
04-12-09 1:00,0,9,5
04-12-09 2:00,0,3,2
04-12-09 3:00,0,2,0
04-12-09 4:00,0,0,0
04-12-09 5:00,0,0,0
04-12-09 6:00,0,0,0
04-12-09 7:00,13,2,11
04-12-09 8:00,43,8,46
04-12-09 9:00,76,19,103
04-12-09 10:00,196,60,239
04-12-09 11:00,237,124,352
04-12-09 12:00,256,169,439
04-12-09 13:00,242,176,505
04-12-09 14:00,225,264,466
04-12-09 15:00,239,229,476
04-12-09 16:00,246,212,510
04-12-09 17:00,205,255,460
04-12-09 18:00,344,163,641
04-12-09 19:00,347,153,835
04-12-09 20:00,183,180,838
04-12-09 21:00,71,308,601
04-12-09 22:00,27,341,287
04-12-09 23:00,24,176,135
05-12-09 0:00,130,67,63
05-12-09 1:00,1,45,19
05-12-09 2:00,0,17,2
05-12-09 3:00,1,2,1
05-12-09 4:00,0,0,1
05-12-09 5:00,0,0,1
05-12-09 6:00,0,0,1
05-12-09 7:00,7,3,5
05-12-09 8:00,31,6,30
