Date and Time,Entrycount,Exitcount,total cip
01-02-09 0:00,129,35,94
01-02-09 1:00,0,66,28
01-02-09 2:00,0,25,3
01-02-09 3:00,0,3,0
01-02-09 4:00,0,0,0
01-02-09 5:00,0,0,0
01-02-09 6:00,2,0,2
01-02-09 7:00,5,1,6
01-02-09 8:00,18,1,23
01-02-09 9:00,84,8,99
01-02-09 10:00,226,34,291
01-02-09 11:00,285,84,492
01-02-09 12:00,326,155,663
01-02-09 13:00,290,236,717
01-02-09 14:00,225,293,649
01-02-09 15:00,209,224,634
01-02-09 16:00,180,239,575
01-02-09 17:00,174,214,535
01-02-09 18:00,167,234,468
01-02-09 19:00,110,181,397
01-02-09 20:00,66,153,310
01-02-09 21:00,23,214,119
01-02-09 22:00,6,84,41
01-02-09 23:00,2,34,9
02-02-09 0:00,7,4,3
02-02-09 1:00,0,2,1
02-02-09 2:00,1,1,1
02-02-09 3:00,0,1,0
02-02-09 4:00,0,0,0
02-02-09 5:00,1,1,0
02-02-09 6:00,0,0,0
02-02-09 7:00,4,0,4
02-02-09 8:00,37,11,30
02-02-09 9:00,68,29,69
02-02-09 10:00,140,64,145
02-02-09 11:00,173,102,216
02-02-09 12:00,218,131,303
02-02-09 13:00,155,148,310
02-02-09 14:00,167,201,276
02-02-09 15:00,136,166,246
02-02-09 16:00,130,149,227
02-02-09 17:00,111,145,193
02-02-09 18:00,182,106,269
02-02-09 19:00,152,94,327
02-02-09 20:00,52,124,255
02-02-09 21:00,20,166,109
02-02-09 22:00,8,63,54
02-02-09 23:00,1,46,9
03-02-09 0:00,5,4,1
03-02-09 1:00,0,1,0
03-02-09 2:00,0,0,0
03-02-09 3:00,0,0,0
03-02-09 4:00,0,0,0
03-02-09 5:00,0,0,0
03-02-09 6:00,1,1,0
03-02-09 7:00,4,0,4
03-02-09 8:00,23,6,21
03-02-09 9:00,54,19,56
03-02-09 10:00,116,53,119
03-02-09 11:00,184,83,220
03-02-09 12:00,204,120,304
03-02-09 13:00,141,131,314
03-02-09 14:00,149,213,250
03-02-09 15:00,156,165,241
03-02-09 16:00,131,166,206
03-02-09 17:00,118,137,187
03-02-09 18:00,185,99,273
03-02-09 19:00,142,79,336
03-02-09 20:00,67,108,295
03-02-09 21:00,23,170,148
03-02-09 22:00,2,86,64
03-02-09 23:00,0,48,16
04-02-09 0:00,7,4,3
04-02-09 1:00,0,2,1
04-02-09 2:00,0,1,0
04-02-09 3:00,0,0,0
04-02-09 4:00,0,0,0
04-02-09 5:00,1,1,0
04-02-09 6:00,1,0,1
04-02-09 7:00,8,0,9
04-02-09 8:00,29,3,35
04-02-09 9:00,77,33,79
04-02-09 10:00,172,64,187
04-02-09 11:00,218,114,291
04-02-09 12:00,286,147,430
04-02-09 13:00,188,205,413
04-02-09 14:00,172,252,333
04-02-09 15:00,184,203,314
04-02-09 16:00,162,198,278
04-02-09 17:00,143,182,239
04-02-09 18:00,266,135,370
04-02-09 19:00,234,107,497
04-02-09 20:00,71,138,430
04-02-09 21:00,17,251,196
04-02-09 22:00,4,145,55
04-02-09 23:00,1,48,8
05-02-09 0:00,7,4,3
05-02-09 1:00,0,2,1
05-02-09 2:00,0,1,0
05-02-09 3:00,0,0,0
05-02-09 4:00,0,0,0
05-02-09 5:00,1,0,1
05-02-09 6:00,1,1,1
05-02-09 7:00,5,2,4
