Date and Time,Entrycount,Exitcount,total cip
01-07-09 0:00,31,25,6
01-07-09 1:00,0,4,2
01-07-09 2:00,0,0,2
01-07-09 3:00,1,2,1
01-07-09 4:00,0,1,0
01-07-09 5:00,1,1,0
01-07-09 6:00,0,0,0
01-07-09 7:00,11,2,9
01-07-09 8:00,46,12,43
01-07-09 9:00,76,30,89
01-07-09 10:00,139,58,170
01-07-09 11:00,195,112,253
01-07-09 12:00,191,128,316
01-07-09 13:00,174,165,325
01-07-09 14:00,176,172,329
01-07-09 15:00,183,190,322
01-07-09 16:00,166,173,315
01-07-09 17:00,137,190,262
01-07-09 18:00,223,113,372
01-07-09 19:00,211,119,464
01-07-09 20:00,67,130,401
01-07-09 21:00,23,212,212
01-07-09 22:00,5,154,63
01-07-09 23:00,0,42,21
02-07-09 0:00,17,13,4
02-07-09 1:00,0,0,4
02-07-09 2:00,1,1,4
02-07-09 3:00,0,3,1
02-07-09 4:00,0,0,1
02-07-09 5:00,0,0,1
02-07-09 6:00,1,1,1
02-07-09 7:00,6,1,6
02-07-09 8:00,41,13,34
02-07-09 9:00,68,26,76
02-07-09 10:00,117,77,116
02-07-09 11:00,159,80,195
02-07-09 12:00,226,104,317
02-07-09 13:00,171,159,329
02-07-09 14:00,153,179,303
02-07-09 15:00,179,177,305
02-07-09 16:00,157,162,300
02-07-09 17:00,123,177,246
02-07-09 18:00,199,116,329
02-07-09 19:00,186,101,414
02-07-09 20:00,74,133,355
02-07-09 21:00,36,187,204
02-07-09 22:00,7,130,81
02-07-09 23:00,1,56,26
03-07-09 0:00,24,23,1
03-07-09 1:00,0,1,0
03-07-09 2:00,0,0,0
03-07-09 3:00,0,0,0
03-07-09 4:00,0,0,0
03-07-09 5:00,0,0,0
03-07-09 6:00,1,0,1
03-07-09 7:00,5,1,5
03-07-09 8:00,30,8,27
03-07-09 9:00,77,21,83
03-07-09 10:00,151,64,170
03-07-09 11:00,195,104,261
03-07-09 12:00,239,145,355
03-07-09 13:00,194,185,364
03-07-09 14:00,222,190,396
03-07-09 15:00,229,206,419
03-07-09 16:00,192,216,395
03-07-09 17:00,196,216,375
03-07-09 18:00,328,154,549
03-07-09 19:00,348,129,768
03-07-09 20:00,209,196,781
03-07-09 21:00,76,326,531
03-07-09 22:00,40,225,346
03-07-09 23:00,22,162,206
04-07-09 0:00,208,109,99
04-07-09 1:00,1,73,27
04-07-09 2:00,0,15,12
04-07-09 3:00,0,8,4
04-07-09 4:00,0,1,3
04-07-09 5:00,0,0,3
04-07-09 6:00,1,0,4
04-07-09 7:00,5,3,6
04-07-09 8:00,27,4,29
04-07-09 9:00,95,21,103
04-07-09 10:00,226,69,260
04-07-09 11:00,303,119,444
04-07-09 12:00,281,178,547
04-07-09 13:00,282,217,612
04-07-09 14:00,264,239,637
04-07-09 15:00,252,228,661
04-07-09 16:00,270,258,673
04-07-09 17:00,259,233,699
04-07-09 18:00,372,230,841
04-07-09 19:00,241,233,849
04-07-09 20:00,217,241,825
04-07-09 21:00,103,364,564
04-07-09 22:00,41,253,352
04-07-09 23:00,44,149,247
05-07-09 0:00,246,117,129
05-07-09 1:00,1,94,36
05-07-09 2:00,1,20,17
05-07-09 3:00,0,15,2
05-07-09 4:00,0,0,2
05-07-09 5:00,0,0,2
05-07-09 6:00,0,0,2
05-07-09 7:00,4,1,5
05-07-09 8:00,34,2,37
05-07-09 9:00,85,8,114
05-07-09 10:00,254,24,344
05-07-09 11:00,358,70,632
05-07-09 12:00,363,144,851
05-07-09 13:00,247,218,880
05-07-09 14:00,256,261,875
05-07-09 15:00,256,251,880
05-07-09 16:00,264,298,846
05-07-09 17:00,216,254,808
05-07-09 18:00,257,310,755
05-07-09 19:00,190,281,664
05-07-09 20:00,104,278,490
05-07-09 21:00,24,288,226
05-07-09 22:00,5,126,105
05-07-09 23:00,1,72,34
06-07-09 0:00,31,24,7
06-07-09 1:00,1,3,5
06-07-09 2:00,0,2,3
06-07-09 3:00,0,0,3
06-07-09 4:00,0,1,2
06-07-09 5:00,0,0,2
06-07-09 6:00,3,0,5
06-07-09 7:00,9,4,10
06-07-09 8:00,24,11,23
06-07-09 9:00,84,29,78
06-07-09 10:00,150,53,175
06-07-09 11:00,197,97,275
06-07-09 12:00,243,133,385
06-07-09 13:00,206,169,422
06-07-09 14:00,177,192,407
06-07-09 15:00,210,200,417
06-07-09 16:00,180,216,381
06-07-09 17:00,147,191,337
06-07-09 18:00,213,162,388
06-07-09 19:00,135,126,397
06-07-09 20:00,67,166,298
06-07-09 21:00,18,203,113
06-07-09 22:00,5,71,47
06-07-09 23:00,2,30,19
07-07-09 0:00,16,14,2
07-07-09 1:00,0,1,1
07-07-09 2:00,1,0,2
07-07-09 3:00,0,1,1
07-07-09 4:00,0,0,1
07-07-09 5:00,0,0,1
07-07-09 6:00,0,1,0
07-07-09 7:00,8,2,6
07-07-09 8:00,39,4,41
07-07-09 9:00,91,26,106
07-07-09 10:00,133,68,171
07-07-09 11:00,146,105,212
07-07-09 12:00,192,124,280
07-07-09 13:00,156,150,286
07-07-09 14:00,158,164,280
07-07-09 15:00,199,172,307
07-07-09 16:00,142,183,266
07-07-09 17:00,113,160,219
07-07-09 18:00,210,105,324
07-07-09 19:00,177,95,406
07-07-09 20:00,70,149,327
07-07-09 21:00,17,190,154
07-07-09 22:00,1,98,57
07-07-09 23:00,0,42,15
08-07-09 0:00,15,10,5
08-07-09 1:00,0,1,4
08-07-09 2:00,0,3,1
08-07-09 3:00,0,0,1
08-07-09 4:00,0,0,1
08-07-09 5:00,1,1,1
08-07-09 6:00,1,1,1
08-07-09 7:00,8,1,8
08-07-09 8:00,33,4,37
08-07-09 9:00,62,30,69
08-07-09 10:00,148,45,172
08-07-09 11:00,190,112,250
08-07-09 12:00,198,135,313
08-07-09 13:00,167,166,314
08-07-09 14:00,185,178,321
08-07-09 15:00,205,190,336
08-07-09 16:00,206,174,368
08-07-09 17:00,136,204,300
08-07-09 18:00,260,144,416
08-07-09 19:00,210,141,485
08-07-09 20:00,83,168,400
08-07-09 21:00,25,223,202
08-07-09 22:00,6,144,64
08-07-09 23:00,1,50,15
09-07-09 0:00,12,7,5
09-07-09 1:00,0,3,2
09-07-09 2:00,0,1,1
09-07-09 3:00,0,0,1
09-07-09 4:00,0,0,1
09-07-09 5:00,0,0,1
09-07-09 6:00,1,2,0
09-07-09 7:00,2,0,2
09-07-09 8:00,41,7,36
09-07-09 9:00,64,25,75
09-07-09 10:00,142,63,154
09-07-09 11:00,191,105,240
09-07-09 12:00,224,128,336
09-07-09 13:00,179,152,363
09-07-09 14:00,182,198,347
09-07-09 15:00,193,208,332
09-07-09 16:00,162,191,303
09-07-09 17:00,127,168,262
09-07-09 18:00,244,130,376
09-07-09 19:00,216,111,481
09-07-09 20:00,100,159,422
09-07-09 21:00,35,236,221
09-07-09 22:00,2,135,88
09-07-09 23:00,2,41,49
10-07-09 0:00,1,0,1
10-07-09 1:00,0,0,1
10-07-09 2:00,0,0,1
10-07-09 3:00,0,0,1
10-07-09 4:00,0,0,1
10-07-09 5:00,0,0,1
10-07-09 6:00,0,0,1
10-07-09 7:00,4,2,3
10-07-09 8:00,38,8,33
10-07-09 9:00,73,25,81
10-07-09 10:00,148,60,169
10-07-09 11:00,209,101,277
10-07-09 12:00,241,154,364
10-07-09 13:00,239,165,438
10-07-09 14:00,218,219,437
10-07-09 15:00,210,225,422
10-07-09 16:00,180,225,377
10-07-09 17:00,184,206,355
10-07-09 18:00,341,155,541
10-07-09 19:00,386,126,801
10-07-09 20:00,164,167,798
10-07-09 21:00,58,358,498
10-07-09 22:00,30,273,255
10-07-09 23:00,16,141,130
11-07-09 0:00,127,69,58
11-07-09 1:00,1,41,18
11-07-09 2:00,2,9,11
11-07-09 3:00,0,9,2
11-07-09 4:00,0,1,1
11-07-09 5:00,1,1,1
11-07-09 6:00,1,0,2
11-07-09 7:00,3,2,3
11-07-09 8:00,34,9,28
11-07-09 9:00,106,15,119
11-07-09 10:00,228,52,295
11-07-09 11:00,303,131,467
11-07-09 12:00,315,188,594
11-07-09 13:00,325,232,687
11-07-09 14:00,268,261,694
11-07-09 15:00,289,257,726
11-07-09 16:00,289,268,747
11-07-09 17:00,330,250,827
11-07-09 18:00,290,265,852
11-07-09 19:00,223,223,852
11-07-09 20:00,199,220,831
11-07-09 21:00,58,407,482
11-07-09 22:00,26,223,285
11-07-09 23:00,31,165,151
12-07-09 0:00,157,86,71
12-07-09 1:00,0,54,17
12-07-09 2:00,1,11,7
12-07-09 3:00,2,3,6
12-07-09 4:00,0,3,3
12-07-09 5:00,0,0,3
12-07-09 6:00,0,0,3
12-07-09 7:00,5,1,7
12-07-09 8:00,30,3,34
12-07-09 9:00,83,11,106
12-07-09 10:00,243,28,321
12-07-09 11:00,327,72,576
12-07-09 12:00,333,144,765
12-07-09 13:00,283,190,858
12-07-09 14:00,230,246,842
12-07-09 15:00,286,271,857
12-07-09 16:00,250,267,840
12-07-09 17:00,192,285,747
12-07-09 18:00,199,292,654
12-07-09 19:00,139,258,535
12-07-09 20:00,57,230,362
12-07-09 21:00,22,255,129
12-07-09 22:00,4,75,58
12-07-09 23:00,1,38,21
13-07-09 0:00,12,8,4
13-07-09 1:00,0,2,2
13-07-09 2:00,0,0,2
13-07-09 3:00,0,0,2
