Date and Time,Entrycount,Exitcount,total cip
01-06-09 0:00,6,3,3
01-06-09 1:00,0,1,2
01-06-09 2:00,0,0,2
01-06-09 3:00,0,2,0
01-06-09 4:00,0,0,0
01-06-09 5:00,0,0,0
01-06-09 6:00,0,0,0
01-06-09 7:00,2,0,2
01-06-09 8:00,34,13,23
01-06-09 9:00,96,34,85
01-06-09 10:00,154,63,176
01-06-09 11:00,206,105,277
01-06-09 12:00,220,151,346
01-06-09 13:00,199,155,390
01-06-09 14:00,180,202,368
01-06-09 15:00,180,221,327
01-06-09 16:00,174,187,314
01-06-09 17:00,134,182,266
01-06-09 18:00,185,119,332
01-06-09 19:00,150,111,371
01-06-09 20:00,80,154,297
01-06-09 21:00,24,190,131
01-06-09 22:00,4,61,74
01-06-09 23:00,3,49,28
02-06-09 0:00,7,2,5
02-06-09 1:00,0,2,3
02-06-09 2:00,1,4,0
02-06-09 3:00,0,0,0
02-06-09 4:00,0,0,0
02-06-09 5:00,0,0,0
02-06-09 6:00,2,1,1
02-06-09 7:00,10,2,9
02-06-09 8:00,38,11,36
02-06-09 9:00,59,26,69
02-06-09 10:00,126,62,133
02-06-09 11:00,150,87,196
02-06-09 12:00,261,96,361
02-06-09 13:00,176,182,355
02-06-09 14:00,161,191,325
02-06-09 15:00,215,199,341
02-06-09 16:00,128,189,280
02-06-09 17:00,115,163,232
02-06-09 18:00,252,114,370
02-06-09 19:00,192,100,462
02-06-09 20:00,73,182,353
02-06-09 21:00,15,201,167
02-06-09 22:00,7,105,69
02-06-09 23:00,3,60,12
03-06-09 0:00,11,7,4
03-06-09 1:00,0,2,2
03-06-09 2:00,0,1,1
03-06-09 3:00,0,1,0
03-06-09 4:00,0,0,0
03-06-09 5:00,1,1,0
03-06-09 6:00,1,0,1
03-06-09 7:00,7,0,8
03-06-09 8:00,31,9,30
03-06-09 9:00,65,27,68
03-06-09 10:00,119,50,137
03-06-09 11:00,182,88,231
03-06-09 12:00,253,113,371
03-06-09 13:00,171,169,373
03-06-09 14:00,168,198,343
03-06-09 15:00,196,203,336
03-06-09 16:00,158,182,312
03-06-09 17:00,127,174,265
03-06-09 18:00,212,118,359
03-06-09 19:00,181,117,423
03-06-09 20:00,74,134,363
03-06-09 21:00,23,207,179
03-06-09 22:00,4,114,69
03-06-09 23:00,2,58,13
04-06-09 0:00,10,5,5
04-06-09 1:00,1,4,2
04-06-09 2:00,0,1,1
04-06-09 3:00,0,0,1
04-06-09 4:00,0,1,0
04-06-09 5:00,0,0,0
04-06-09 6:00,2,1,1
04-06-09 7:00,8,0,9
04-06-09 8:00,34,10,33
04-06-09 9:00,81,21,93
04-06-09 10:00,151,64,180
04-06-09 11:00,186,99,267
04-06-09 12:00,230,131,366
04-06-09 13:00,182,183,365
04-06-09 14:00,177,191,351
04-06-09 15:00,147,193,305
04-06-09 16:00,165,161,309
04-06-09 17:00,138,168,279
04-06-09 18:00,249,129,399
04-06-09 19:00,162,125,436
04-06-09 20:00,66,147,355
04-06-09 21:00,30,216,169
04-06-09 22:00,4,107,66
04-06-09 23:00,1,58,9
05-06-09 0:00,8,4,4
05-06-09 1:00,2,1,5
05-06-09 2:00,0,4,1
05-06-09 3:00,0,1,0
05-06-09 4:00,0,0,0
05-06-09 5:00,0,0,0
05-06-09 6:00,2,1,1
05-06-09 7:00,5,2,4
05-06-09 8:00,32,8,28
05-06-09 9:00,80,23,85
05-06-09 10:00,142,71,156
05-06-09 11:00,187,94,249
05-06-09 12:00,233,130,352
05-06-09 13:00,204,165,391
05-06-09 14:00,223,219,395
05-06-09 15:00,213,208,400
05-06-09 16:00,178,204,374
05-06-09 17:00,205,216,363
05-06-09 18:00,408,125,646
05-06-09 19:00,346,136,856
05-06-09 20:00,169,199,826
05-06-09 21:00,58,392,492
05-06-09 22:00,24,264,252
05-06-09 23:00,23,158,117
06-06-09 0:00,107,33,74
06-06-09 1:00,2,49,27
06-06-09 2:00,2,24,5
06-06-09 3:00,2,6,1
06-06-09 4:00,1,1,1
06-06-09 5:00,0,1,0
06-06-09 6:00,0,0,0
06-06-09 7:00,6,2,4
06-06-09 8:00,28,6,26
06-06-09 9:00,99,22,103
06-06-09 10:00,220,53,270
06-06-09 11:00,293,115,448
06-06-09 12:00,317,155,610
06-06-09 13:00,287,220,677
06-06-09 14:00,224,258,643
06-06-09 15:00,262,239,666
06-06-09 16:00,246,252,660
06-06-09 17:00,245,241,664
06-06-09 18:00,341,199,806
06-06-09 19:00,239,204,841
06-06-09 20:00,184,225,800
06-06-09 21:00,106,384,522
06-06-09 22:00,30,240,312
06-06-09 23:00,26,226,112
07-06-09 0:00,116,38,78
07-06-09 1:00,1,49,30
07-06-09 2:00,4,25,9
07-06-09 3:00,0,4,5
07-06-09 4:00,0,0,5
07-06-09 5:00,2,0,7
07-06-09 6:00,0,1,6
07-06-09 7:00,5,2,9
07-06-09 8:00,35,2,42
07-06-09 9:00,96,7,131
07-06-09 10:00,251,35,347
07-06-09 11:00,356,64,639
07-06-09 12:00,351,161,829
07-06-09 13:00,211,183,857
07-06-09 14:00,285,272,870
07-06-09 15:00,268,273,865
07-06-09 16:00,254,281,838
07-06-09 17:00,186,271,753
07-06-09 18:00,204,288,669
07-06-09 19:00,128,234,563
07-06-09 20:00,61,209,415
07-06-09 21:00,23,265,173
07-06-09 22:00,5,99,79
07-06-09 23:00,3,63,19
08-06-09 0:00,8,6,2
08-06-09 1:00,0,0,2
08-06-09 2:00,0,0,2
08-06-09 3:00,0,0,2
08-06-09 4:00,0,0,2
08-06-09 5:00,1,0,3
08-06-09 6:00,0,3,0
08-06-09 7:00,3,0,3
08-06-09 8:00,35,14,24
08-06-09 9:00,65,30,59
08-06-09 10:00,122,50,131
08-06-09 11:00,171,103,199
08-06-09 12:00,219,112,306
08-06-09 13:00,177,154,329
08-06-09 14:00,176,179,326
08-06-09 15:00,155,166,315
08-06-09 16:00,149,180,284
08-06-09 17:00,117,151,250
08-06-09 18:00,207,118,339
08-06-09 19:00,133,108,364
08-06-09 20:00,46,150,260
08-06-09 21:00,22,170,112
08-06-09 22:00,9,70,51
08-06-09 23:00,2,38,15
09-06-09 0:00,11,5,6
09-06-09 1:00,0,2,4
09-06-09 2:00,0,1,3
09-06-09 3:00,0,0,3
09-06-09 4:00,0,1,2
09-06-09 5:00,0,0,2
09-06-09 6:00,0,0,2
09-06-09 7:00,10,1,11
09-06-09 8:00,33,12,32
09-06-09 9:00,57,30,59
09-06-09 10:00,137,70,126
09-06-09 11:00,182,95,213
09-06-09 12:00,196,109,300
09-06-09 13:00,148,134,314
09-06-09 14:00,191,186,319
09-06-09 15:00,196,179,336
09-06-09 16:00,130,184,282
09-06-09 17:00,113,173,222
09-06-09 18:00,238,117,343
09-06-09 19:00,162,102,403
09-06-09 20:00,72,140,335
09-06-09 21:00,14,221,128
09-06-09 22:00,2,88,42
09-06-09 23:00,1,32,11
10-06-09 0:00,10,9,1
10-06-09 1:00,4,0,5
10-06-09 2:00,0,4,1
10-06-09 3:00,0,1,0
10-06-09 4:00,0,0,0
10-06-09 5:00,1,0,1
10-06-09 6:00,1,1,1
10-06-09 7:00,8,2,7
10-06-09 8:00,30,7,30
10-06-09 9:00,58,30,58
10-06-09 10:00,130,60,128
10-06-09 11:00,188,95,221
10-06-09 12:00,213,105,329
10-06-09 13:00,161,163,327
10-06-09 14:00,171,187,311
10-06-09 15:00,159,161,309
10-06-09 16:00,154,183,280
10-06-09 17:00,133,161,252
10-06-09 18:00,246,118,380
10-06-09 19:00,165,107,438
10-06-09 20:00,86,184,340
10-06-09 21:00,16,205,151
10-06-09 22:00,3,100,54
10-06-09 23:00,2,45,11
11-06-09 0:00,9,7,2
11-06-09 1:00,0,1,1
11-06-09 2:00,0,0,1
11-06-09 3:00,0,0,1
11-06-09 4:00,0,0,1
11-06-09 5:00,0,0,1
11-06-09 6:00,1,1,1
11-06-09 7:00,6,2,5
11-06-09 8:00,37,10,32
11-06-09 9:00,73,21,84
11-06-09 10:00,129,63,150
11-06-09 11:00,160,90,220
11-06-09 12:00,229,121,328
11-06-09 13:00,174,138,364
11-06-09 14:00,178,187,355
11-06-09 15:00,167,189,333
11-06-09 16:00,144,172,305
11-06-09 17:00,127,149,283
11-06-09 18:00,229,136,376
11-06-09 19:00,163,100,439
11-06-09 20:00,77,128,388
11-06-09 21:00,45,237,196
11-06-09 22:00,5,104,97
11-06-09 23:00,1,90,8
12-06-09 0:00,7,4,3
12-06-09 1:00,0,2,1
12-06-09 2:00,0,0,1
12-06-09 3:00,0,1,0
12-06-09 4:00,0,0,0
12-06-09 5:00,0,0,0
12-06-09 6:00,0,0,0
12-06-09 7:00,10,3,7
12-06-09 8:00,34,8,33
12-06-09 9:00,79,26,86
12-06-09 10:00,141,55,172
12-06-09 11:00,178,103,247
12-06-09 12:00,217,117,347
12-06-09 13:00,202,146,403
12-06-09 14:00,197,215,385
12-06-09 15:00,175,214,346
12-06-09 16:00,182,191,337
12-06-09 17:00,213,192,358
12-06-09 18:00,346,139,565
12-06-09 19:00,325,133,757
12-06-09 20:00,168,170,755
12-06-09 21:00,91,346,500
12-06-09 22:00,23,236,287
12-06-09 23:00,28,201,114
13-06-09 0:00,110,30,80
13-06-09 1:00,1,66,15
13-06-09 2:00,0,9,6
13-06-09 3:00,0,2,4
13-06-09 4:00,0,0,4
13-06-09 5:00,1,1,4
13-06-09 6:00,1,1,4
13-06-09 7:00,9,3,10
13-06-09 8:00,29,7,32
13-06-09 9:00,113,23,122
13-06-09 10:00,228,67,283
13-06-09 11:00,275,122,436
13-06-09 12:00,264,180,520
13-06-09 13:00,264,198,586
13-06-09 14:00,286,233,639
13-06-09 15:00,285,227,697
13-06-09 16:00,267,247,717
13-06-09 17:00,250,273,694
13-06-09 18:00,354,218,830
13-06-09 19:00,246,217,859
13-06-09 20:00,166,238,787
13-06-09 21:00,92,365,514
13-06-09 22:00,28,206,336
13-06-09 23:00,29,241,124
14-06-09 0:00,120,34,86
14-06-09 1:00,0,68,18
14-06-09 2:00,0,12,6
14-06-09 3:00,0,3,3
14-06-09 4:00,1,1,3
14-06-09 5:00,0,1,2
14-06-09 6:00,1,0,3
14-06-09 7:00,4,2,5
14-06-09 8:00,28,0,33
14-06-09 9:00,95,8,120
14-06-09 10:00,254,27,347
14-06-09 11:00,390,73,664
14-06-09 12:00,338,156,846
14-06-09 13:00,302,247,901
14-06-09 14:00,296,280,917
14-06-09 15:00,257,259,915
14-06-09 16:00,238,293,860
14-06-09 17:00,194,301,753
14-06-09 18:00,195,270,678
14-06-09 19:00,149,268,559
14-06-09 20:00,75,232,402
14-06-09 21:00,40,281,161
14-06-09 22:00,5,80,86
14-06-09 23:00,3,72,17
15-06-09 0:00,15,9,6
15-06-09 1:00,0,2,4
15-06-09 2:00,1,4,1
15-06-09 3:00,0,0,1
15-06-09 4:00,0,0,1
15-06-09 5:00,0,0,1
15-06-09 6:00,3,1,3
15-06-09 7:00,5,0,8
15-06-09 8:00,45,17,36
15-06-09 9:00,70,35,71
15-06-09 10:00,136,53,154
15-06-09 11:00,171,115,210
15-06-09 12:00,198,101,307
15-06-09 13:00,194,132,369
15-06-09 14:00,205,183,391
15-06-09 15:00,159,216,334
15-06-09 16:00,135,194,275
15-06-09 17:00,104,174,205
15-06-09 18:00,197,108,294
15-06-09 19:00,132,91,335
15-06-09 20:00,55,123,267
15-06-09 21:00,20,167,120
15-06-09 22:00,4,65,59
15-06-09 23:00,1,53,7
16-06-09 0:00,7,4,3
16-06-09 1:00,1,2,2
16-06-09 2:00,1,2,1
16-06-09 3:00,0,0,1
16-06-09 4:00,0,1,0
16-06-09 5:00,0,0,0
16-06-09 6:00,0,0,0
16-06-09 7:00,12,2,10
16-06-09 8:00,27,6,31
16-06-09 9:00,76,23,84
16-06-09 10:00,126,66,144
16-06-09 11:00,171,94,221
16-06-09 12:00,213,117,317
16-06-09 13:00,173,152,338
16-06-09 14:00,187,179,346
16-06-09 15:00,170,193,323
16-06-09 16:00,139,187,275
16-06-09 17:00,113,149,239
16-06-09 18:00,199,123,315
16-06-09 19:00,141,109,347
16-06-09 20:00,46,112,281
16-06-09 21:00,24,180,125
16-06-09 22:00,2,68,59
16-06-09 23:00,2,51,10
17-06-09 0:00,9,7,2
17-06-09 1:00,0,1,1
17-06-09 2:00,0,1,0
17-06-09 3:00,0,0,0
17-06-09 4:00,0,0,0
17-06-09 5:00,0,0,0
17-06-09 6:00,0,0,0
17-06-09 7:00,17,7,10
17-06-09 8:00,42,10,42
17-06-09 9:00,92,23,111
17-06-09 10:00,149,67,193
17-06-09 11:00,174,97,270
17-06-09 12:00,230,130,370
17-06-09 13:00,214,187,397
17-06-09 14:00,197,206,388
17-06-09 15:00,160,182,366
17-06-09 16:00,150,193,323
17-06-09 17:00,145,172,296
17-06-09 18:00,236,126,406
17-06-09 19:00,219,140,485
17-06-09 20:00,74,139,420
17-06-09 21:00,22,261,181
17-06-09 22:00,4,130,55
17-06-09 23:00,3,50,8
18-06-09 0:00,5,4,1
18-06-09 1:00,0,1,0
18-06-09 2:00,0,0,0
18-06-09 3:00,0,0,0
18-06-09 4:00,0,0,0
18-06-09 5:00,0,0,0
18-06-09 6:00,2,2,0
18-06-09 7:00,9,0,9
18-06-09 8:00,29,13,25
18-06-09 9:00,83,24,84
18-06-09 10:00,150,63,171
18-06-09 11:00,161,107,225
18-06-09 12:00,224,127,322
18-06-09 13:00,203,136,389
18-06-09 14:00,183,179,393
18-06-09 15:00,226,235,384
18-06-09 16:00,177,207,354
18-06-09 17:00,148,195,307
18-06-09 18:00,319,123,503
18-06-09 19:00,195,117,581
18-06-09 20:00,100,189,492
18-06-09 21:00,36,288,240
18-06-09 22:00,3,127,116
18-06-09 23:00,0,80,36
19-06-09 0:00,11,9,2
19-06-09 1:00,0,0,2
19-06-09 2:00,0,0,2
19-06-09 3:00,0,2,0
19-06-09 4:00,0,0,0
19-06-09 5:00,0,0,0
19-06-09 6:00,0,0,0
19-06-09 7:00,7,1,6
19-06-09 8:00,26,9,23
19-06-09 9:00,76,16,83
19-06-09 10:00,176,62,197
19-06-09 11:00,221,126,292
19-06-09 12:00,263,129,426
19-06-09 13:00,256,200,482
19-06-09 14:00,278,241,519
19-06-09 15:00,249,258,510
19-06-09 16:00,202,249,463
19-06-09 17:00,210,251,422
19-06-09 18:00,386,173,635
19-06-09 19:00,368,144,859
19-06-09 20:00,152,243,768
19-06-09 21:00,76,393,451
19-06-09 22:00,21,229,243
19-06-09 23:00,23,169,97
20-06-09 0:00,93,27,66
20-06-09 1:00,2,58,10
20-06-09 2:00,4,8,6
20-06-09 3:00,0,2,4
20-06-09 4:00,0,0,4
20-06-09 5:00,0,2,2
20-06-09 6:00,2,1,3
20-06-09 7:00,3,2,4
20-06-09 8:00,26,5,25
20-06-09 9:00,127,26,126
20-06-09 10:00,273,80,319
20-06-09 11:00,302,132,489
20-06-09 12:00,306,215,580
20-06-09 13:00,303,230,653
20-06-09 14:00,280,287,646
20-06-09 15:00,298,273,671
20-06-09 16:00,280,273,678
20-06-09 17:00,298,257,719
20-06-09 18:00,350,254,815
20-06-09 19:00,252,214,853
20-06-09 20:00,159,227,785
20-06-09 21:00,61,380,466
20-06-09 22:00,21,228,259
20-06-09 23:00,23,180,102
21-06-09 0:00,97,35,62
21-06-09 1:00,2,49,15
21-06-09 2:00,0,11,4
21-06-09 3:00,0,3,1
21-06-09 4:00,0,0,1
21-06-09 5:00,0,1,0
21-06-09 6:00,1,1,0
21-06-09 7:00,3,1,2
21-06-09 8:00,26,2,26
21-06-09 9:00,111,9,128
21-06-09 10:00,315,36,407
21-06-09 11:00,376,109,674
21-06-09 12:00,371,191,854
21-06-09 13:00,221,238,837
21-06-09 14:00,237,244,830
21-06-09 15:00,278,283,825
21-06-09 16:00,240,265,800
21-06-09 17:00,207,279,728
21-06-09 18:00,218,290,656
21-06-09 19:00,166,255,567
21-06-09 20:00,62,243,386
21-06-09 21:00,19,295,110
21-06-09 22:00,6,61,55
21-06-09 23:00,0,47,8
22-06-09 0:00,7,4,3
22-06-09 1:00,0,2,1
22-06-09 2:00,0,0,1
22-06-09 3:00,0,1,0
22-06-09 4:00,0,0,0
22-06-09 5:00,0,0,0
22-06-09 6:00,1,1,0
22-06-09 7:00,2,1,1
22-06-09 8:00,41,11,31
22-06-09 9:00,83,26,88
22-06-09 10:00,130,62,156
22-06-09 11:00,202,102,256
22-06-09 12:00,234,115,375
22-06-09 13:00,184,171,388
22-06-09 14:00,213,204,397
22-06-09 15:00,177,204,370
22-06-09 16:00,177,199,348
22-06-09 17:00,117,206,259
22-06-09 18:00,211,157,313
22-06-09 19:00,172,119,366
22-06-09 20:00,64,135,295
22-06-09 21:00,24,189,130
22-06-09 22:00,7,70,67
22-06-09 23:00,1,51,17
23-06-09 0:00,13,10,3
23-06-09 1:00,0,1,2
23-06-09 2:00,0,1,1
23-06-09 3:00,0,1,0
23-06-09 4:00,0,0,0
23-06-09 5:00,0,0,0
23-06-09 6:00,0,0,0
23-06-09 7:00,7,1,6
23-06-09 8:00,32,11,27
23-06-09 9:00,66,27,66
23-06-09 10:00,127,44,149
23-06-09 11:00,159,97,211
23-06-09 12:00,222,122,311
23-06-09 13:00,192,161,342
23-06-09 14:00,191,189,344
23-06-09 15:00,168,194,318
23-06-09 16:00,162,192,288
23-06-09 17:00,141,179,250
23-06-09 18:00,280,126,404
23-06-09 19:00,258,99,563
23-06-09 20:00,95,140,518
23-06-09 21:00,60,235,343
23-06-09 22:00,21,132,232
23-06-09 23:00,22,122,132
24-06-09 0:00,128,73,55
24-06-09 1:00,0,28,27
24-06-09 2:00,1,25,3
24-06-09 3:00,0,1,2
24-06-09 4:00,0,0,2
24-06-09 5:00,0,0,2
24-06-09 6:00,1,1,2
24-06-09 7:00,8,2,8
24-06-09 8:00,31,5,34
24-06-09 9:00,72,29,77
24-06-09 10:00,157,59,175
24-06-09 11:00,209,109,275
24-06-09 12:00,249,136,388
24-06-09 13:00,197,165,420
24-06-09 14:00,187,210,397
24-06-09 15:00,216,190,423
24-06-09 16:00,199,234,388
24-06-09 17:00,167,204,351
24-06-09 18:00,278,142,487
24-06-09 19:00,234,143,578
24-06-09 20:00,117,172,523
24-06-09 21:00,59,234,348
24-06-09 22:00,5,157,196
24-06-09 23:00,3,81,118
25-06-09 0:00,118,113,5
25-06-09 1:00,0,0,5
25-06-09 2:00,0,3,2
25-06-09 3:00,0,0,2
25-06-09 4:00,0,1,1
25-06-09 5:00,0,0,1
25-06-09 6:00,1,2,0
25-06-09 7:00,5,0,5
25-06-09 8:00,40,12,33
25-06-09 9:00,71,31,73
25-06-09 10:00,183,64,192
25-06-09 11:00,215,112,295
25-06-09 12:00,225,125,395
25-06-09 13:00,213,181,427
25-06-09 14:00,202,228,401
25-06-09 15:00,207,184,424
25-06-09 16:00,190,202,412
25-06-09 17:00,169,207,374
25-06-09 18:00,345,160,559
25-06-09 19:00,286,140,705
25-06-09 20:00,141,179,667
25-06-09 21:00,45,320,392
25-06-09 22:00,5,190,207
25-06-09 23:00,1,99,109
26-06-09 0:00,104,98,6
26-06-09 1:00,0,3,3
26-06-09 2:00,0,3,0
26-06-09 3:00,0,0,0
26-06-09 4:00,0,0,0
26-06-09 5:00,0,0,0
26-06-09 6:00,1,1,0
26-06-09 7:00,3,1,2
26-06-09 8:00,35,4,33
26-06-09 9:00,88,30,91
26-06-09 10:00,143,65,169
26-06-09 11:00,214,103,280
26-06-09 12:00,240,130,390
26-06-09 13:00,257,178,469
26-06-09 14:00,219,218,470
26-06-09 15:00,233,204,499
26-06-09 16:00,272,239,532
26-06-09 17:00,263,232,563
26-06-09 18:00,398,180,781
26-06-09 19:00,230,157,854
26-06-09 20:00,181,194,841
26-06-09 21:00,87,349,579
26-06-09 22:00,74,245,408
26-06-09 23:00,86,140,354
27-06-09 0:00,329,83,246
27-06-09 1:00,1,106,141
27-06-09 2:00,0,93,48
27-06-09 3:00,0,44,4
27-06-09 4:00,0,2,2
27-06-09 5:00,2,0,4
27-06-09 6:00,5,0,9
27-06-09 7:00,15,2,22
27-06-09 8:00,32,8,46
27-06-09 9:00,127,14,159
27-06-09 10:00,252,73,338
27-06-09 11:00,299,126,511
27-06-09 12:00,325,191,645
27-06-09 13:00,342,238,749
27-06-09 14:00,339,237,851
27-06-09 15:00,306,302,855
27-06-09 16:00,260,272,843
27-06-09 17:00,316,319,840
27-06-09 18:00,247,240,847
27-06-09 19:00,227,237,837
27-06-09 20:00,201,206,832
27-06-09 21:00,113,365,580
27-06-09 22:00,68,239,409
27-06-09 23:00,96,139,366
28-06-09 0:00,383,127,256
28-06-09 1:00,0,79,177
28-06-09 2:00,0,70,107
28-06-09 3:00,0,101,6
28-06-09 4:00,0,3,3
28-06-09 5:00,0,1,2
28-06-09 6:00,1,1,2
28-06-09 7:00,4,1,5
28-06-09 8:00,28,4,29
28-06-09 9:00,117,8,138
28-06-09 10:00,328,37,429
28-06-09 11:00,429,87,771
28-06-09 12:00,237,161,847
28-06-09 13:00,199,205,841
28-06-09 14:00,238,222,857
28-06-09 15:00,235,229,863
28-06-09 16:00,285,281,867
28-06-09 17:00,249,298,818
28-06-09 18:00,183,270,731
28-06-09 19:00,170,241,660
28-06-09 20:00,85,262,483
28-06-09 21:00,34,266,251
28-06-09 22:00,4,130,125
28-06-09 23:00,1,67,59
29-06-09 0:00,56,48,8
29-06-09 1:00,1,7,2
29-06-09 2:00,0,1,1
29-06-09 3:00,1,1,1
29-06-09 4:00,0,0,1
29-06-09 5:00,0,0,1
29-06-09 6:00,0,0,1
29-06-09 7:00,7,3,5
29-06-09 8:00,35,11,29
29-06-09 9:00,70,31,68
29-06-09 10:00,136,54,150
29-06-09 11:00,184,110,224
29-06-09 12:00,190,115,299
29-06-09 13:00,180,141,338
29-06-09 14:00,181,196,323
29-06-09 15:00,200,167,356
29-06-09 16:00,155,201,310
29-06-09 17:00,133,174,269
29-06-09 18:00,204,153,320
29-06-09 19:00,180,110,390
29-06-09 20:00,80,147,323
29-06-09 21:00,24,170,177
29-06-09 22:00,7,91,93
29-06-09 23:00,6,50,49
30-06-09 0:00,49,42,7
30-06-09 1:00,1,5,3
30-06-09 2:00,0,1,2
30-06-09 3:00,1,3,0
30-06-09 4:00,0,0,0
30-06-09 5:00,1,0,1
30-06-09 6:00,1,2,0
30-06-09 7:00,10,3,7
30-06-09 8:00,29,7,29
30-06-09 9:00,74,23,80
30-06-09 10:00,118,45,153
30-06-09 11:00,164,100,217
30-06-09 12:00,186,122,281
30-06-09 13:00,157,158,280
30-06-09 14:00,211,168,323
30-06-09 15:00,181,178,326
30-06-09 16:00,186,199,313
30-06-09 17:00,161,185,289
30-06-09 18:00,242,127,404
30-06-09 19:00,189,106,487
30-06-09 20:00,77,139,425
30-06-09 21:00,31,258,198
30-06-09 22:00,3,99,102
30-06-09 23:00,1,71,32
