Date and Time,Entrycount,Exitcount,total cip
01-03-09 0:00,153,44,109
01-03-09 1:00,1,36,74
01-03-09 2:00,3,75,2
01-03-09 3:00,0,1,1
01-03-09 4:00,1,0,2
01-03-09 5:00,1,1,2
01-03-09 6:00,0,0,2
01-03-09 7:00,4,1,5
01-03-09 8:00,29,3,31
01-03-09 9:00,87,12,106
01-03-09 10:00,236,36,306
01-03-09 11:00,338,89,555
01-03-09 12:00,346,148,753
01-03-09 13:00,328,246,835
01-03-09 14:00,278,283,830
01-03-09 15:00,278,290,818
01-03-09 16:00,245,261,802
01-03-09 17:00,201,283,720
01-03-09 18:00,226,351,595
01-03-09 19:00,142,250,487
01-03-09 20:00,84,215,356
01-03-09 21:00,26,229,153
01-03-09 22:00,3,69,87
01-03-09 23:00,2,73,16
02-03-09 0:00,1,0,1
02-03-09 1:00,0,0,1
02-03-09 2:00,0,1,0
02-03-09 3:00,0,0,0
02-03-09 4:00,0,0,0
02-03-09 5:00,1,0,1
02-03-09 6:00,2,1,2
02-03-09 7:00,8,1,9
02-03-09 8:00,38,15,32
02-03-09 9:00,70,30,72
02-03-09 10:00,150,62,160
02-03-09 11:00,177,107,230
02-03-09 12:00,196,124,302
02-03-09 13:00,165,157,310
02-03-09 14:00,161,202,269
02-03-09 15:00,154,177,246
02-03-09 16:00,155,178,223
02-03-09 17:00,132,139,216
02-03-09 18:00,191,125,282
02-03-09 19:00,241,89,434
02-03-09 20:00,83,118,399
02-03-09 21:00,20,137,282
02-03-09 22:00,7,60,229
02-03-09 23:00,1,210,20
03-03-09 0:00,16,14,2
03-03-09 1:00,0,0,2
03-03-09 2:00,0,0,2
03-03-09 3:00,0,1,1
03-03-09 4:00,0,1,0
03-03-09 5:00,1,1,0
03-03-09 6:00,0,0,0
03-03-09 7:00,3,2,1
03-03-09 8:00,27,6,22
03-03-09 9:00,79,30,71
03-03-09 10:00,138,65,144
03-03-09 11:00,176,122,198
03-03-09 12:00,190,135,253
03-03-09 13:00,130,135,248
03-03-09 14:00,135,170,213
03-03-09 15:00,153,158,208
03-03-09 16:00,132,143,197
03-03-09 17:00,105,129,173
03-03-09 18:00,194,93,274
03-03-09 19:00,142,93,323
03-03-09 20:00,80,113,290
03-03-09 21:00,23,157,156
03-03-09 22:00,9,81,84
03-03-09 23:00,1,75,10
04-03-09 0:00,9,8,1
04-03-09 1:00,1,2,0
04-03-09 2:00,0,0,0
04-03-09 3:00,0,0,0
04-03-09 4:00,0,0,0
04-03-09 5:00,1,1,0
04-03-09 6:00,0,0,0
