Date and Time,Entrycount,Exitcount,total cip
01-05-09 0:00,182,88,94
01-05-09 1:00,1,68,27
01-05-09 2:00,0,26,1
01-05-09 3:00,0,1,0
01-05-09 4:00,0,0,0
01-05-09 5:00,0,0,0
01-05-09 6:00,2,1,1
01-05-09 7:00,6,1,6
01-05-09 8:00,21,2,25
01-05-09 9:00,90,11,104
01-05-09 10:00,229,38,295
01-05-09 11:00,299,79,515
01-05-09 12:00,367,122,760
01-05-09 13:00,276,192,844
01-05-09 14:00,252,254,842
01-05-09 15:00,231,242,831
01-05-09 16:00,226,239,818
01-05-09 17:00,240,249,809
01-05-09 18:00,220,228,801
01-05-09 19:00,223,226,798
01-05-09 20:00,141,230,709
01-05-09 21:00,67,301,475
01-05-09 22:00,59,238,296
01-05-09 23:00,30,144,182
02-05-09 0:00,176,69,107
02-05-09 1:00,1,85,23
02-05-09 2:00,2,20,5
02-05-09 3:00,0,3,2
02-05-09 4:00,0,1,1
02-05-09 5:00,0,0,1
02-05-09 6:00,1,0,2
02-05-09 7:00,4,2,4
02-05-09 8:00,28,6,26
02-05-09 9:00,83,21,88
02-05-09 10:00,225,63,250
02-05-09 11:00,235,139,346
02-05-09 12:00,254,162,438
02-05-09 13:00,240,184,494
02-05-09 14:00,246,220,520
02-05-09 15:00,230,206,544
02-05-09 16:00,225,210,559
02-05-09 17:00,229,228,560
02-05-09 18:00,297,174,683
02-05-09 19:00,246,188,741
02-05-09 20:00,96,205,632
02-05-09 21:00,72,353,351
02-05-09 22:00,45,145,251
02-05-09 23:00,30,123,158
03-05-09 0:00,158,80,78
03-05-09 1:00,2,63,17
03-05-09 2:00,0,10,7
03-05-09 3:00,0,3,4
03-05-09 4:00,0,2,2
03-05-09 5:00,0,1,1
03-05-09 6:00,0,0,1
03-05-09 7:00,5,3,3
03-05-09 8:00,27,1,29
03-05-09 9:00,71,5,95
03-05-09 10:00,170,32,233
03-05-09 11:00,308,69,472
03-05-09 12:00,268,138,602
03-05-09 13:00,274,216,660
03-05-09 14:00,298,191,767
03-05-09 15:00,215,234,748
03-05-09 16:00,182,261,669
03-05-09 17:00,141,265,545
03-05-09 18:00,137,225,457
03-05-09 19:00,103,203,357
03-05-09 20:00,44,193,208
03-05-09 21:00,23,131,100
03-05-09 22:00,2,58,44
03-05-09 23:00,1,35,10
04-05-09 0:00,7,6,1
04-05-09 1:00,0,1,0
04-05-09 2:00,0,0,0
04-05-09 3:00,0,0,0
04-05-09 4:00,0,0,0
04-05-09 5:00,0,0,0
04-05-09 6:00,1,0,1
