Date and Time,Entrycount,Exitcount,total cip
01-11-09 0:00,104,36,68
01-11-09 1:00,2,51,19
01-11-09 2:00,0,14,5
01-11-09 3:00,0,3,2
01-11-09 4:00,0,0,2
01-11-09 5:00,1,1,2
01-11-09 6:00,0,1,1
01-11-09 7:00,3,2,2
01-11-09 8:00,28,0,30
01-11-09 9:00,89,8,111
01-11-09 10:00,254,33,332
01-11-09 11:00,324,75,581
01-11-09 12:00,240,129,692
01-11-09 13:00,210,174,728
01-11-09 14:00,228,215,741
01-11-09 15:00,208,236,713
01-11-09 16:00,262,231,744
01-11-09 17:00,189,247,686
01-11-09 18:00,161,261,586
01-11-09 19:00,119,208,497
01-11-09 20:00,60,224,333
01-11-09 21:00,17,224,126
01-11-09 22:00,2,90,38
01-11-09 23:00,2,31,9
02-11-09 0:00,5,4,1
02-11-09 1:00,0,0,1
02-11-09 2:00,0,0,1
02-11-09 3:00,0,0,1
02-11-09 4:00,0,0,1
02-11-09 5:00,0,1,0
02-11-09 6:00,0,0,0
02-11-09 7:00,6,0,6
02-11-09 8:00,30,8,28
02-11-09 9:00,70,25,73
02-11-09 10:00,140,56,157
02-11-09 11:00,174,97,234
02-11-09 12:00,221,125,330
02-11-09 13:00,181,176,335
02-11-09 14:00,165,177,323
02-11-09 15:00,175,204,294
02-11-09 16:00,164,191,267
02-11-09 17:00,105,178,194
02-11-09 18:00,172,117,249
02-11-09 19:00,112,81,280
02-11-09 20:00,47,109,218
02-11-09 21:00,15,132,101
02-11-09 22:00,0,61,40
02-11-09 23:00,2,30,12
03-11-09 0:00,6,3,3
03-11-09 1:00,0,1,2
03-11-09 2:00,0,2,0
03-11-09 3:00,0,0,0
03-11-09 4:00,0,0,0
03-11-09 5:00,0,0,0
03-11-09 6:00,0,0,0
03-11-09 7:00,15,2,13
03-11-09 8:00,35,20,28
03-11-09 9:00,86,21,93
03-11-09 10:00,143,74,162
03-11-09 11:00,201,100,263
03-11-09 12:00,205,125,343
03-11-09 13:00,177,166,354
03-11-09 14:00,176,185,345
03-11-09 15:00,150,188,307
03-11-09 16:00,178,176,309
03-11-09 17:00,129,193,245
03-11-09 18:00,183,129,299
03-11-09 19:00,164,98,365
03-11-09 20:00,57,139,283
03-11-09 21:00,17,194,106
03-11-09 22:00,2,70,38
03-11-09 23:00,2,34,6
04-11-09 0:00,5,5,0
04-11-09 1:00,0,0,0
04-11-09 2:00,0,0,0
04-11-09 3:00,0,0,0
04-11-09 4:00,0,0,0
04-11-09 5:00,0,0,0
04-11-09 6:00,1,1,0
04-11-09 7:00,4,0,4
04-11-09 8:00,38,7,35
04-11-09 9:00,73,20,88
04-11-09 10:00,140,59,169
04-11-09 11:00,190,104,255
04-11-09 12:00,214,142,327
04-11-09 13:00,214,173,368
