Date and Time,Entrycount,Exitcount,total cip
01-10-09 0:00,21,17,4
01-10-09 1:00,0,3,1
01-10-09 2:00,0,0,1
01-10-09 3:00,0,1,0
01-10-09 4:00,0,0,0
01-10-09 5:00,0,0,0
01-10-09 6:00,4,3,1
01-10-09 7:00,5,0,6
01-10-09 8:00,42,13,35
01-10-09 9:00,58,17,76
01-10-09 10:00,144,67,153
01-10-09 11:00,184,96,241
01-10-09 12:00,225,119,347
01-10-09 13:00,208,160,395
01-10-09 14:00,183,203,375
01-10-09 15:00,155,215,315
01-10-09 16:00,179,172,322
01-10-09 17:00,141,177,286
01-10-09 18:00,211,148,349
01-10-09 19:00,185,99,435
01-10-09 20:00,78,143,370
01-10-09 21:00,33,220,183
01-10-09 22:00,2,25,160
01-10-09 23:00,0,0,160
02-10-09 0:00,0,0,0
02-10-09 1:00,0,0,0
02-10-09 2:00,0,0,0
02-10-09 3:00,0,0,0
02-10-09 4:00,0,0,0
02-10-09 5:00,0,0,0
02-10-09 6:00,0,0,0
02-10-09 7:00,10,0,10
02-10-09 8:00,26,5,31
02-10-09 9:00,89,30,90
02-10-09 10:00,151,70,171
02-10-09 11:00,219,109,281
02-10-09 12:00,232,155,358
02-10-09 13:00,215,154,419
02-10-09 14:00,177,217,379
02-10-09 15:00,203,227,355
02-10-09 16:00,177,205,327
02-10-09 17:00,166,184,309
02-10-09 18:00,288,150,447
02-10-09 19:00,333,115,665
02-10-09 20:00,162,146,681
02-10-09 21:00,49,262,468
02-10-09 22:00,21,142,347
02-10-09 23:00,21,163,205
03-10-09 0:00,102,45,57
03-10-09 1:00,1,34,24
03-10-09 2:00,0,20,4
03-10-09 3:00,1,1,4
03-10-09 4:00,0,2,2
03-10-09 5:00,0,0,2
03-10-09 6:00,2,1,3
03-10-09 7:00,4,4,3
03-10-09 8:00,25,7,21
03-10-09 9:00,104,20,105
03-10-09 10:00,201,51,255
03-10-09 11:00,273,120,408
03-10-09 12:00,245,181,472
03-10-09 13:00,256,181,547
03-10-09 14:00,273,227,593
