Date and Time,Entrycount,Exitcount,total cip
01-09-09 0:00,12,7,5
01-09-09 1:00,0,3,2
01-09-09 2:00,0,2,0
01-09-09 3:00,0,0,0
01-09-09 4:00,0,0,0
01-09-09 5:00,0,0,0
01-09-09 6:00,0,0,0
01-09-09 7:00,4,1,3
01-09-09 8:00,24,9,18
01-09-09 9:00,69,23,64
01-09-09 10:00,140,51,153
01-09-09 11:00,230,108,275
01-09-09 12:00,207,103,379
01-09-09 13:00,357,186,550
01-09-09 14:00,225,277,498
01-09-09 15:00,195,259,434
01-09-09 16:00,174,218,390
01-09-09 17:00,141,189,342
01-09-09 18:00,252,153,441
01-09-09 19:00,208,129,520
01-09-09 20:00,62,189,393
01-09-09 21:00,22,231,184
01-09-09 22:00,4,122,66
01-09-09 23:00,2,44,24
02-09-09 0:00,12,8,4
02-09-09 1:00,0,1,3
02-09-09 2:00,0,3,0
02-09-09 3:00,0,0,0
02-09-09 4:00,0,0,0
02-09-09 5:00,1,1,0
02-09-09 6:00,0,0,0
02-09-09 7:00,12,0,12
02-09-09 8:00,35,5,42
02-09-09 9:00,53,38,57
02-09-09 10:00,126,48,135
02-09-09 11:00,181,91,225
02-09-09 12:00,207,117,315
02-09-09 13:00,164,140,339
02-09-09 14:00,167,173,333
02-09-09 15:00,160,196,297
02-09-09 16:00,149,186,260
02-09-09 17:00,113,155,218
02-09-09 18:00,215,112,321
02-09-09 19:00,179,103,397
02-09-09 20:00,75,146,326
02-09-09 21:00,20,181,165
02-09-09 22:00,2,117,50
02-09-09 23:00,1,45,6
03-09-09 0:00,5,1,4
03-09-09 1:00,0,3,1
03-09-09 2:00,1,1,1
03-09-09 3:00,0,1,0
03-09-09 4:00,0,0,0
03-09-09 5:00,1,0,1
03-09-09 6:00,2,1,2
03-09-09 7:00,7,2,7
03-09-09 8:00,44,9,42
03-09-09 9:00,77,28,91
03-09-09 10:00,155,75,171
03-09-09 11:00,226,100,297
03-09-09 12:00,214,158,353
03-09-09 13:00,174,188,339
03-09-09 14:00,178,186,331
03-09-09 15:00,137,180,288
03-09-09 16:00,180,179,289
03-09-09 17:00,95,151,233
03-09-09 18:00,243,122,354
03-09-09 19:00,208,113,449
03-09-09 20:00,84,138,395
03-09-09 21:00,28,250,173
03-09-09 22:00,6,119,60
03-09-09 23:00,3,55,8
04-09-09 0:00,8,4,4
04-09-09 1:00,0,3,1
04-09-09 2:00,0,0,1
04-09-09 3:00,0,0,1
04-09-09 4:00,0,0,1
04-09-09 5:00,0,0,1
04-09-09 6:00,1,1,1
04-09-09 7:00,11,1,11
04-09-09 8:00,26,9,28
04-09-09 9:00,82,30,80
04-09-09 10:00,141,67,154
04-09-09 11:00,195,90,259
04-09-09 12:00,255,133,381
04-09-09 13:00,194,161,414
04-09-09 14:00,178,217,375
04-09-09 15:00,195,204,366
